STATE,STATE Name,CNTY,CNTY Name,Deleted,Valid Until,Type
06,Miyagi / 宮城,06006,Kurokawa / 黒川,false,,Gun
06,Miyagi / 宮城,06007,Shida / 志田,true,"Mar.30,2006",Gun
06,Miyagi / 宮城,06008,Shibata / 柴田,false,,Gun
06,Miyagi / 宮城,06009,Tamatsukuri / 玉造,true,"Mar.30,2006",Gun
06,Miyagi / 宮城,0601,Sendai / 仙台,false,,City
06,Miyagi / 宮城,06010,Toda / 遠田,false,,Gun
06,Miyagi / 宮城,060101,Aoba / 青葉,false,,Ku
06,Miyagi / 宮城,060102,Miyagino / 宮城野,false,,Ku
06,Miyagi / 宮城,060103,Wakabayashi / 若林,false,,Ku
06,Miyagi / 宮城,060104,Taihaku / 太白,false,,Ku
06,Miyagi / 宮城,060105,Izumi / 泉,false,,Ku
06,Miyagi / 宮城,06011,Tome / 登米,true,"Mar.31,2005",Gun
06,Miyagi / 宮城,06012,Natori / 名取,true,"Feb.29,1988",Gun
06,Miyagi / 宮城,06013,Miyagi / 宮城,false,,Gun
06,Miyagi / 宮城,06014,Motoyoshi / 本吉,false,,Gun
06,Miyagi / 宮城,06015,Monou / 桃生,true,"Mar.31,2005",Gun
06,Miyagi / 宮城,06016,Watari / 亘理,false,,Gun
06,Miyagi / 宮城,0602,Ishinomaki / 石巻,false,,City
06,Miyagi / 宮城,0603,Shiogama / 塩竈,false,,City
06,Miyagi / 宮城,0604,Furukawa / 古川,true,"Mar.30,2006",City
06,Miyagi / 宮城,0605,Kesennuma / 気仙沼,false,,City
06,Miyagi / 宮城,0606,Shiroishi / 白石,false,,City
06,Miyagi / 宮城,0607,Natori / 名取,false,,City
06,Miyagi / 宮城,0608,Kakuda / 角田,false,,City
06,Miyagi / 宮城,0609,Tagajo / 多賀城,false,,City
06,Miyagi / 宮城,0610,Izumi / 泉,true,"Feb.29,1988",City
06,Miyagi / 宮城,0611,Iwanuma / 岩沼,false,,City
06,Miyagi / 宮城,0612,Tome / 登米,false,,City
06,Miyagi / 宮城,0613,Kurihara / 栗原,false,,City
06,Miyagi / 宮城,0614,Higashimatsushima / 東松島,false,,City
06,Miyagi / 宮城,0615,Osaki / 大崎,false,,City
06,Miyagi / 宮城,0616,Tomiya / 富谷,false,,City
07,Fukushima / 福島,07001,Asaka / 安積,true,"Apr.30,1965",Gun
07,Fukushima / 福島,07002,Adachi / 安達,false,,Gun
07,Fukushima / 福島,07003,Ishikawa / 石川,false,,Gun
07,Fukushima / 福島,07004,Ishiki / 石城,true,"Sep.30,1966",Gun
07,Fukushima / 福島,07005,Iwase / 岩瀬,false,,Gun
07,Fukushima / 福島,07006,Onuma / 大沼,false,,Gun
07,Fukushima / 福島,07007,Kawanuma / 河沼,false,,Gun
07,Fukushima / 福島,07008,Kitaaizu / 北会津,true,"Oct.31,2004",Gun
07,Fukushima / 福島,07009,Shinobu / 信夫,true,"Sep.30,1968",Gun
07,Fukushima / 福島,0701,Fukushima / 福島,false,,City
07,Fukushima / 福島,07010,Soma / 相馬,false,,Gun
07,Fukushima / 福島,07011,Date / 伊達,false,,Gun
07,Fukushima / 福島,07012,Tamura / 田村,false,,Gun
07,Fukushima / 福島,07013,Nishishirakawa / 西白河,false,,Gun
07,Fukushima / 福島,07014,Higashishirakawa / 東白川,false,,Gun
07,Fukushima / 福島,07015,Futaba / 双葉,false,,Gun
07,Fukushima / 福島,07016,Minamiaizu / 南会津,false,,Gun
07,Fukushima / 福島,07017,Yama / 耶麻,false,,Gun
07,Fukushima / 福島,0702,Aizuwakamatsu / 会津若松,false,,City
07,Fukushima / 福島,0703,Koriyama / 郡山,false,,City
07,Fukushima / 福島,0704,Taira / 平,true,"Sep.30,1966",City
07,Fukushima / 福島,0705,Shirakawa / 白河,false,,City
07,Fukushima / 福島,0706,Haramachi / 原町,true,"Dec.31,2005,City
07,Fukushima / 福島,0707,Sukagawa / 須賀川,false,,City
07,Fukushima / 福島,0708,Kitakata / 喜多方,false,,City
07,Fukushima / 福島,0709,Joban / 常磐,true,"Sep.30,1966",City
07,Fukushima / 福島,0710,Iwaki / 磐城,true,"Sep.30,1966",City
07,Fukushima / 福島,0711,Soma / 相馬,false,,City
07,Fukushima / 福島,0712,Uchigo / 内郷,true,"Sep.30,1966",City
07,Fukushima / 福島,0713,Nakoso / 勿来,true,"Sep.30,1966",City
07,Fukushima / 福島,0714,Nihonmatsu / 二本松,false,,City
07,Fukushima / 福島,0715,Iwaki / いわき,false,,City
07,Fukushima / 福島,0716,Wakamatsu / 若松,true,"Dec.31,1954",City
07,Fukushima / 福島,0717,Tamura / 田村,false,,City
07,Fukushima / 福島,0718,Minamisoma / 南相馬,false,,City
07,Fukushima / 福島,0719,Date / 伊達,false,,City
07,Fukushima / 福島,0720,Motomiya / 本宮,false,,City
08,Niigata / 新潟,08001,Iwafune / 岩船,false,,Gun
08,Niigata / 新潟,08002,Kariwa / 刈羽,false,,Gun
08,Niigata / 新潟,08003,Kitauonuma / 北魚沼,true,"Mar.30,2010",Gun
08,Niigata / 新潟,08004,Kitakambara / 北蒲原,false,,Gun
08,Niigata / 新潟,08005,Koshi / 古志,true,"Mar.31,2005",Gun
08,Niigata / 新潟,08006,Sado / 佐渡,true,"Feb.29,2004",Gun
08,Niigata / 新潟,08007,Santo / 三島,false,,Gun
08,Niigata / 新潟,08008,Nakauonuma / 中魚沼,false,,Gun
